PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40610462","Beta-adrenoceptor drugs and progression to Parkinson's disease milestones in a large pooled incident cohort","Wijeyekoon RS, Camacho M, Bäckström D, Forsgren L, Lawson RA, Yarnall AJ, Macleod AD, Counsell CE, Tysnes OB, Alves G, Maple-Grødem J, Barker RA, Williams-Gray CH; Parkinson’s Incidence Cohorts Collaboration.","NPJ Parkinsons Dis. 2025 Jul 3;11(1):198. doi: 10.1038/s41531-025-01014-y.","Wijeyekoon RS","NPJ Parkinsons Dis","2025","2025/07/03","PMC12229619","","10.1038/s41531-025-01014-y"
"32539544","Acoustic characteristics in relation to intelligibility reduction in noise for speakers with Parkinson's disease","Chiu Y, Neel A, Loux T.","Clin Linguist Phon. 2021 Mar 4;35(3):222-236. doi: 10.1080/02699206.2020.1777585. Epub 2020 Jun 15.","Chiu Y","Clin Linguist Phon","2021","2020/06/17","","","10.1080/02699206.2020.1777585"
"37294324","Risk and protective factors in Parkinson's disease: a simultaneous and prospective study with classical statistical and novel machine learning models","Gialluisi A, De Bartolo MI, Costanzo S, Belvisi D, Falciglia S, Ricci M, Di Castelnuovo A, Panzera T, Donati MB, Fabbrini G, de Gaetano G, Berardelli A, Iacoviello L.","J Neurol. 2023 Sep;270(9):4487-4497. doi: 10.1007/s00415-023-11803-1. Epub 2023 Jun 9.","Gialluisi A","J Neurol","2023","2023/06/09","","","10.1007/s00415-023-11803-1"
"35270499","Bone Quality in Patients with Parkinson's Disease Determined by Quantitative Ultrasound (QUS) of the Calcaneus: Influence of Sex Differences","Caplliure-Llopis J, Escrivá D, Navarro-Illana E, Benlloch M, de la Rubia Ortí JE, Barrios C.","Int J Environ Res Public Health. 2022 Feb 28;19(5):2804. doi: 10.3390/ijerph19052804.","Caplliure-Llopis J","Int J Environ Res Public Health","2022","2022/03/10","PMC8910506","","10.3390/ijerph19052804"
"41430044","Muscle bursting and corticomotor excitability mark impaired impulse control in Parkinson's disease","Warden ACM, McAllister CJ, Cruse D, Wright B, MacDonald HJ.","NPJ Parkinsons Dis. 2025 Dec 23;12(1):11. doi: 10.1038/s41531-025-01207-5.","Warden ACM","NPJ Parkinsons Dis","2025","2025/12/22","PMC12796308","","10.1038/s41531-025-01207-5"
"39702743","Longitudinal associations of lipid profiles with sleep disorders in patients with Parkinson's disease","Ye M, Ji Q, Liu Q, Kang X, Zhan Y.","Lipids. 2025 May;60(3):115-123. doi: 10.1002/lipd.12428. Epub 2024 Dec 19.","Ye M","Lipids","2025","2024/12/20","","","10.1002/lipd.12428"
"37430896","Multiscale Entropy Algorithms to Analyze Complexity and Variability of Trunk Accelerations Time Series in Subjects with Parkinson's Disease","Castiglia SF, Trabassi D, Conte C, Ranavolo A, Coppola G, Sebastianelli G, Abagnale C, Barone F, Bighiani F, De Icco R, Tassorelli C, Serrao M.","Sensors (Basel). 2023 May 22;23(10):4983. doi: 10.3390/s23104983.","Castiglia SF","Sensors (Basel)","2023","2023/07/11","PMC10221101","","10.3390/s23104983"
"40567285","Parkinson's disease-related pattern (PDRP) identified using resting-state functional MRI: Validation study","Rommal A, Vo A, Schindlbeck KA, Greuel A, Ruppert MC, Eggers C, Eidelberg D.","Neuroimage Rep. 2021 Jun 26;1(3):100026. doi: 10.1016/j.ynirp.2021.100026. eCollection 2021 Sep.","Rommal A","Neuroimage Rep","2021","2025/06/26","PMC12172760","","10.1016/j.ynirp.2021.100026"
"37615914","The association between intermediate-term sulfur dioxide exposure and outpatient visits for Parkinson's disease: a time-series study in southwestern China","Hu Y, Zhou C, Tan C, Liu J, Huang X, Liu X, Yao C, Li D, Huang Q, Li N, Long J, Li X, Li Y, Zhou L, Cai T.","Environ Sci Pollut Res Int. 2023 Sep;30(44):99694-99703. doi: 10.1007/s11356-023-29408-6. Epub 2023 Aug 24.","Hu Y","Environ Sci Pollut Res Int","2023","2023/08/24","","","10.1007/s11356-023-29408-6"
"38020782","Serum zinc deficiency is a potential risk factor for the occurrence of levodopa-induced dyskinesia in drug-naïve Parkinson's disease","Kim JE, Lee HS, Jang W.","Front Aging Neurosci. 2023 Nov 2;15:1282367. doi: 10.3389/fnagi.2023.1282367. eCollection 2023.","Kim JE","Front Aging Neurosci","2023","2023/11/29","PMC10652755","","10.3389/fnagi.2023.1282367"
"38730245","Untargeted serum metabolic profiling of diabetes mellitus among Parkinson's disease patients","Li S, Lin Y, Jones D, Walker DI, Duarte Folle A, Del Rosario I, Yu Y, Zhang K, Keener AM, Bronstein J, Ritz B, Paul KC.","NPJ Parkinsons Dis. 2024 May 10;10(1):100. doi: 10.1038/s41531-024-00711-4.","Li S","NPJ Parkinsons Dis","2024","2024/05/10","PMC11087477","","10.1038/s41531-024-00711-4"
"35328925","Direct Medical Costs of Parkinson's Disease in Southern China: A Cross-Sectional Study Based on Health Insurance Claims Data in Guangzhou City","Zhang H, Zhou W, Zhang D.","Int J Environ Res Public Health. 2022 Mar 9;19(6):3238. doi: 10.3390/ijerph19063238.","Zhang H","Int J Environ Res Public Health","2022","2022/03/25","PMC8953775","","10.3390/ijerph19063238"
"32925107","The Effect of the COVID-19 Pandemic on People with Parkinson's Disease","Brown EG, Chahine LM, Goldman SM, Korell M, Mann E, Kinel DR, Arnedo V, Marek KL, Tanner CM.","J Parkinsons Dis. 2020;10(4):1365-1377. doi: 10.3233/JPD-202249.","Brown EG","J Parkinsons Dis","2020","2020/09/14","PMC7683050","","10.3233/JPD-202249"
